scheme_code,scheme_name,date,nav
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-06-2026,6199.4873
119092,HDFC Money Market Fund - Growth Option - Direct Plan,19-06-2026,6195.7817
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-06-2026,6194.652
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-06-2026,6193.3506
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-06-2026,6191.812
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-06-2026,6187.8223
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-06-2026,6181.815
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-06-2026,6179.1997
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-06-2026,6181.797
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-06-2026,6180.6685
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-06-2026,6174.2085
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-06-2026,6168.4756
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-06-2026,6160.9434
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-06-2026,6159.9624
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-06-2026,6158.9663
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-06-2026,6156.7534
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-05-2026,6151.114
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-05-2026,6146.612
119092,HDFC Money Market Fund - Growth Option - Direct Plan,26-05-2026,6144.0005
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-05-2026,6144.8477
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-05-2026,6142.638
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-05-2026,6142.881
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-05-2026,6147.5854
119092,HDFC Money Market Fund - Growth Option - Direct Plan,19-05-2026,6149.76
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-05-2026,6148.485
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-05-2026,6148.302
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-05-2026,6148.936
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-05-2026,6150.1255
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-05-2026,6150.508
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-05-2026,6151.867
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-05-2026,6151.3706
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-05-2026,6149.9097
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-05-2026,6149.031
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-05-2026,6146.0
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-05-2026,6145.705
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-04-2026,6140.1616
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-04-2026,6141.88
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-04-2026,6143.001
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-04-2026,6142.5903
